FirstByte	LastByte	Type	Compressed	Description	Modified
00E1A0	00E29F	DATA	No	DTE Table	7/16/2002
00E2A0			No		6/24/2002
00E400	00E579	GFX	No	"Incomplete alphabet, used in ??? (not used by blue fonts in menu)"	6/24/2002
00E580			No		6/24/2002
00EE20	00F09F	---	No	UNUSED SPACE (640 bytes)	6/24/2002
00F0A0			No		6/24/2002
00F6A0	00F6F9	PTR	No	"Pointers to unknown compressed Locations data (+00F700, first at 00F700, 45 addresses)"	8/12/2003
00F6FA	00F6FF	---	No	UNUSED SPACE (6 bytes)	7/28/2003
00F700	00FEAA	???	Yes	Unknown compressed Locations data	8/12/2003
00FEAB	00FEFF	---	No	UNUSED SPACE (85 bytes)	6/24/2002
00FF00			No		6/24/2002
010000	010038	???	No	Unknown 3 byte data related to Locations	7/29/2003
010039	01003F	---	No	UNUSED SPACE (7 bytes)	6/24/2002
010040	0100E7	DATA	No	Controls scrolling of top layer of locations	4/22/2003
0100E8	0100FF	---	No	UNUSED SPACE (24 bytes)	6/24/2002
010100	010106	CODE	No	Entry point in SMC (finish w/ jump to 000219)	9/23/2002
010107	01010F	---	No	UNUSED SPACE (10 bytes)	9/23/2002
010110	010117	CODE	No	NMI vector code (executed in memory)	9/23/2002
010118	0101AF	---	No	UNUSED SPACE (152 bytes)	6/24/2002
0101B0			No		6/24/2002
0101C0	0101D4	ROM	No	ROM Title (ASCII)	6/24/2002
0101D5	0101D5	ROM	No	"ROM Makeup (Speed & Bank Size) - Value: Fast, Hi"	6/24/2002
0101D6	0101D6	ROM	No	Rom Type - Value: ROM and SRAM	6/24/2002
0101D7	0101D7	ROM	No	Rom Size - Value: 32 megabit	6/24/2002
0101D8	0101D8	ROM	No	SRAM size - Value: 64k	6/24/2002
0101D9	0101D9	ROM	No	Country code - Value: USA	6/24/2002
0101DA	0101DA	ROM	No	License - Value: Nintendo(?)	6/24/2002
0101DB	0101DB	ROM	No	Version - Value: 1.0	6/24/2002
0101DC	0101DD	ROM	No	Inverse Checksum - Value: A0CD	4/22/2003
0101DE	0101DF	ROM	No	Checksum - Value: 5F32	4/22/2003
0101E0			No		4/22/2003
0101EA	0101EB	ROM	No	NMI Vector (value: FF10)	6/24/2002
0101FC	0101FD	ROM	No	Reset Vector - Value: FF00	6/24/2002
0101FE			No		6/24/2002
010200	0201E4	CODE	No	Unknown routines	3/19/2003
0201E5	0201FF	---	No	UNUSED SPACE (28 bytes)	3/19/2003
020200	020E90	CODE	No	Battle Code	9/9/2002
020E91	020E92	DATA	No	Damage is truncated when above this value (graphical glitches when raised above 9999) (May only be physical)	6/24/2002
020E93	020E95	CODE	No	Battle Code	9/9/2002
020E96	020E97	DATA	No	Damage is truncated to this value (May only be physical)	6/24/2002
020E98	026668	CODE	No	Battle Code	9/9/2002
026669	0269FF	---	No	UNUSED SPACE (919 bytes)	6/24/2002
026A00	026A6B	CODE	No	Unknown routines	8/28/2002
026A6C	028C5F	DATA	Yes	"???, intro credits near the end of this segment"	8/28/2002
028C5E			No		8/28/2002
02948E	029499	TXT	No	"Ending: ""Gau"", 4 bytes per character (x, y, tile idx, const?)"	8/28/2002
02949A			No		8/28/2002
029944	029953	PAL	No	Palette - 8 colors	6/24/2002
029954	029993	PAL	No	Palettes - End Credits	6/24/2002
029994	029A53	PAL	No	"Palettes - 6 palettes, 16 colors each"	6/24/2002
029A54			No		6/24/2002
02A198	02A859	TXT	No	"End credit, uses two different fonts: one for the job and one for the name"	8/28/2002
02A85A	02A9FF	---	No	UNUSED SPACE (919 bytes)	8/28/2002
02AA00			No		8/28/2002
02AA8F	02AFB8	CODE	No	Unknown routines	9/23/2002
02AFB9			No		9/23/2002
02AFE1	02B120	TXT	No	"Status Text (32 words, 10 bytes each)"	6/24/2002
02B121			No		6/24/2002
02B1A3	02B1F8	CODE	No	Unknown routines	6/24/2002
02B1F9			No		6/24/2002
02B2CD	02B33C	PTR	No	Pointer to code(?)	6/24/2002
02B33D	02C06D	CODE	No	Unknown routines	9/23/2002
02C06F			No		6/24/2002
02C13B	02C13D	DATA	No	Songs to use for battle	6/24/2002
02C13E			No		6/24/2002
02C153	02C59A	CODE	No	Unknown routines	9/23/2002
02C59B			No		9/23/2002
02C889	02C890	PAL	No	"Palette: the four colors used in battle for the glove, the actor cursor, the miss tiles and harmfull count digits"	6/24/2002
02C891	02C898	PAL	No	Palette: the four colors used in battle for curative count digits	6/24/2002
02C899			No		6/24/2002
02C945	02CB44	PTR	No	Pointers to sprite parts used in battle	4/22/2003
02CB45	02CF44	???	No	Unknown - Pattern of 32 bytes beginning with 40 and each number thereafter decreasing	6/24/2002
02CF45			No		6/24/2002
02D02B	02D042	GFX	No	Battle Sprites Palette Assignments (1 byte each)	6/24/2002
02D043	02D08A	PTR	No	Pointers to Character Sprites used for battle (16 addresses)	6/24/2002
02D08B			No		6/24/2002
02D21A	02D233	PTR	No	Pointers to Monster Formation Size Templates (13 elements) (+020200)	8/1/2003
02D234	02D2F3	DATA	No	Monster Formation Size Templates	8/1/2003
02D2F4	02D34F	DATA	No	Controls some battle screen drawing	4/22/2003
02D350	02D37F	PTR	No	Pointers to battle screen data (+020200)	4/22/2003
02D380	02D493	DATA	No	Controls lower half battle screen drawing	4/22/2003
02D494	02D567	DATA	No	"Controls some battle screen drawing, menus, actors.."	4/22/2003
02D568	02D59E	DATA	No	Controls some battle screen drawing (looks like a pixelation effect)	4/22/2003
02D59F	02D5D4	???	No	"Unknown - Small increasing, then decreasing numbers"	6/24/2002
02D5D5	02D670	CODE	No	Unknown routines	9/23/2002
02D671			No		9/23/2002
02DEC8	02DF1C	CODE	No	Unknown routines	9/23/2002
02DF1D			No		9/23/2002
02E285	02E289	TXT	No	Word: Esper	6/24/2002
02E28A			No		6/24/2002
02E29A	02E2DF	PTR	No	Pointers to battle menu drawing data (+020200) (starts at 02E2E0)	4/22/2003
02E2E0	02E487	DATA	No	"Battle menu drawing data, contains words: Row, Def., R-Hand, L-Hand"	4/22/2003
02E488			No		4/22/2003
02E6EB	02E732	PTR	No	Pointers to unknown data (+020200) (starts at 02E733)	4/22/2003
02E733	02E7D2	???	No	Unknown - Pattern: 00 0x xx 1x 01 FF	6/24/2002
02E7D3	02E7EE	PTR	No	Pointers to unknown data (+020200) (starts at 02E7EF)	4/22/2003
02E7EF	02E83C	???	No	Unknown - Pattern: 00 0x xx 1x 01 FF	6/24/2002
02E83D			No		6/24/2002
02E868	02EC64	CODE	No	Unknown routines	9/23/2002
02EC65			No		9/23/2002
02F14B	02F167	CODE	No	Unknown routines	6/24/2002
02F168			No		6/24/2002
02F3FA	02F410	CODE	No	Unknown routines	9/23/2002
02F411			No		9/23/2002
02F6B3	02FCA3	CODE	No	Unknown routines	9/23/2002
02FCA4	02FE6C	---	No	UNUSED SPACE (457 bytes)	6/24/2002
02FE6D	03006C	???	No	Unknown - 2 byte data (Pointers?)	6/24/2002
03006D	0300ED	???	No	Unknown - Data increases from 00 to 7F and back again	6/24/2002
0300EE	03016C	???	No	Unknown - Data decreases from FD to 81 and back again	6/24/2002
03016D	0301FF	CODE	No	Decompression routine	8/8/2002
030200	030BDA	CODE	No	Unknown routines	9/25/2002
030BDB	030C21	???	No	Unknown data	9/25/2002
030C22	0311DC	CODE	No	Unknown routines	9/25/2002
0311DD			No		9/25/2002
0312D6	031313	???	No	Unknown data - Pattern: FF 7F	9/25/2002
031314	031B7E	CODE	No	Unknown routines	9/25/2002
031B7F	031BC6	???	No	Unknown data	9/25/2002
031BC7	031BFA	CODE	No	Unknown routines	9/25/2002
031BFB			No		9/25/2002
031C26	031C88	TXT	No	Words for Load Game screen	6/24/2002
031C89			No		6/24/2002
031F03	031F93	CODE	No	Unknown routines	9/23/2002
031F94			No		9/23/2002
032B4A	032B64	---	No	UNUSED SPACE (27 bytes)	6/24/2002
032B65			No		6/24/2002
032BC2	033241	CODE	No	Unknown routines	9/25/2002
033242	03324E	???	No	Unknown data	9/25/2002
03324F	033296	CODE	No	Unknown routines	9/25/2002
033297	03329E	???	No	Unknown data	9/25/2002
03329F			No		9/25/2002
03391B	033922	TXT	No	Word: Wounded	6/24/2002
033923	03396E	PTR	No	Pointers to menu screen data (+030200) (starts at 03396F)	4/22/2003
03396F	033A57	TXT	No	Words for Menu screen	4/22/2003
033A58			No		4/22/2003
033C87	033D8B	CODE	No	Unknown routines	9/23/2002
033D8C			No		9/23/2002
03419B	0341AC	CODE	No	Unknown routines	9/23/2002
0341AD			No		9/23/2002
034258	0342CB	CODE	No	Unknown routines	9/25/2002
0342CC			No		9/25/2002
034B0C	034D4E	TXT	No	Words for various submenus	6/24/2002
034D4F			No		6/24/2002
035091	0350DB	???	No	Unknown - Pattern: 04 xx FF	6/24/2002
0350DC			No		6/24/2002
035A8B	035A95	TXT	No	Word: MP Needed	6/24/2002
035A96			No		6/24/2002
035E1C	035E39	DATA	No	"Blitz Specification Characters (14 elements, 2 bytes each [character, rotation])"	7/16/2002
035E3A			No		6/24/2002
035E4A	035F04	TXT	No	Words for Skills submenu	6/24/2002
035F05			No		6/24/2002
03666F	03672B	TXT	No	Words for Status submenu	6/24/2002
03672C			No		6/24/2002
036AE5	036AF9	TXT	No	Words for Name Entry screen	6/24/2002
036AFA	037006	CODE	No	Unknown routines	9/25/2002
037007			No		9/25/2002
037082	0370FF	CODE	No	Unknown routines	9/25/2002
037100	03711A	PAL	No	"Menu Portrait Palette assignment (1 byte each, 27 pointers)"	6/24/2002
03711B	037150	PTR	No	"Pointers to Menu Portrait Graphics (2 bytes each, 27 pointers)"	6/24/2002
037151			No		6/24/2002
037161	0375AE	CODE	No	Unknown routines	9/25/2002
0375AF			No		9/25/2002
037C97	037CE3	TXT	No	Words for Form Groups screen	6/24/2002
037CE4			No		6/24/2002
0381D9	03835E	CODE	No	Unknown routines	9/25/2002
03835F			No		9/25/2002
038A56	038A9F	TXT	No	"Words for Equipment Bonuses (well, numbers actually)"	6/24/2002
038AA0			No		6/24/2002
038F18	038F44	TXT	No	Words for Item submenu	6/24/2002
038F45			No		6/24/2002
038F79	039049	TXT	No	Words for Equipment Description subscreen	6/24/2002
03904A			No		6/24/2002
039783	0397D3	???	No	Unknown - Pattern: 04 x0 FF	6/24/2002
0397D4			No		6/24/2002
03A3EA	03A419	PTR	No	Pointers to Unknown Data (+030200)	9/9/2002
03A41A	03A4A5	???	No	"Unknown Data (6 bytes each, 24 items)"	9/9/2002
03A4A6	03A4B9	PTR	No	Pointers to Words for Equip submenu (seems to be incomplete) (+030200)	6/24/2002
03A4BA	03A54C	TXT	No	Words for Equip submenu	6/24/2002
03A54D	03A570	PTR	No	"Pointers to Statistic Words (again, seems to be incomplete) (+030200)"	6/24/2002
03A571	03A623	TXT	No	Words for Statistics	6/24/2002
03A624	03A73C	CODE	No	Unknown routines	9/25/2002
03A73D			No		9/25/2002
03A996	03AA0D	CODE	No	Unknown routines	9/24/2002
03AA0E			No		9/24/2002
03AE8C	03AEA9	TXT	No	"Words: End, Reset, Determine Order (Final Battle Selection?)"	6/24/2002
03AEAA			No		6/24/2002
03AF9C	03AFB6	TXT	No	Words for Colosseum screen 1	6/24/2002
03AFB7			No		6/24/2002
03B611	03B626	TXT	No	Words for Colosseum screen 2	6/24/2002
03B627			No		6/24/2002
03C20C	03C217	PTR	No	Pointers to Shop words (+030200)	7/16/2002
03C218			No		6/24/2002
03C238	03C264	???	No	Unknown - Pattern: xx 00 0C	6/24/2002
03C265			No		6/24/2002
03C4FC	03C605	TXT	No	Words for Shops	6/24/2002
03C606	03C718	PTR	No	Pointers to Unknown Data	6/24/2002
03C719			No		6/24/2002
03D463	03D5A6	CODE	No	Unknown routines	9/25/2002
03D5A7			No		9/25/2002
03DF61	03DF72	CODE	No	"Generic decompression sub-routine, takes reg. Y (16 LSB of add.), ACC (8 MSB of add.) as params"	9/25/2002
03DF73			No		9/25/2002
03F291	0401FF	---	No	UNUSED SPACE (3951 bytes)	6/24/2002
040200	040541	PTR	No	Map Event Trigger Pointers (+040200)	7/16/2002
040542	041BFD	TRG	No	"Map Event Triggers (5 bytes each) (src x, src y, pointer to event code)"	6/24/2002
041BFE	041C0F	---	No	UNUSED SPACE (18 bytes)	6/24/2002
041C10	041F51	PTR	No	NPC Data Pointers (+041C10)	7/16/2002
041F52	046C6B	DATA	No	NPC Data	7/16/2002
046C6C	046CBF	---	No	UNUSED SPACE (84 bytes)	6/24/2002
046CC0	047ABF	DATA	No	"Magic Data (256 items, 14 bytes each)"	7/16/2002
047AC0	047C3F	TXT	No	"Character Names (64 items, 6 bytes each)"	7/16/2002
047C40	047C9F	DATA	No	"Blitz Specifications (which inputs to accept) (8 elements, 12 bytes each)"	9/16/2002
047CA0	047CBF	DATA	No	Starting Rages	9/9/2002
047CC0	04813F	DATA	No	"Shop Specifications (128 items, 9 bytes each [1 title byte, 8 items])"	7/16/2002
048140	0481BF	DATA	No	"Ragnarok Metamorphosis Packages (26 items, 4 bytes each)"	7/16/2002
0481C0	0491BF	FONT	No	"Small Font Graphics Data (8x8x2, 16 bytes each)"	6/24/2002
0491C0	0492BF	FONT	No	Large Font Character Cell Widths (00-7F)	6/24/2002
0492C0	04A6BF	FONT	No	"Large Font Graphics Data (16x11x1, 22 bytes each, range 0x20-0x7F), DTE dialog, some battles strings"	6/24/2002
04A6C0	04BBFF	---	No	UNUSED SPACE (5440 bytes)	6/24/2002
04BC00	04C1B8	FONT	Yes	End credit fonts (2 bit color)	6/24/2002
04C1B9	04C207	---	No	UNUSED SPACE (79 bytes)	6/24/2002
04C208	04F3C1	GFX/DATA	Yes	"End CGI: book, helmet, sword and/or bush, data at the end containing actors credit backgrounds mapping"	8/28/2002
04F3C2	04F676	---	No	UNUSED SPACE (693 bytes)	6/24/2002
04F677	04F8F7	GFX	Yes	End CGI: apple and ninja stars	8/28/2002
04F8F8	04F8FA	---	No	UNUSED SPACE (3 bytes)	8/28/2002
04F8FB	050171	GFX	Yes	End CGI: Spinning card & mini moogle	8/28/2002
050172	0501FF	---	No	UNUSED SPACE (142 bytes)	6/24/2002
050200	05020F	CODE	No	Jump codes to actual code	8/26/2002
050210	05021B	PTR	No	Pointers to 6 main chunks of SPC data (+050200)	8/26/2002
05021C	050227	DATA	No	SPC addresses for 6 main chunks of SPC data	8/26/2002
050228	050233	PTR	No	Pointers to song data etc. (not sure these are even used)	8/26/2002
050234	0508B8	CODE	No	Actual code for 65816	9/9/2002
0508B9	0508F8	DATA	No	Data for SPC codes $30-$3F (shortcuts to play songs $00-$0F)	8/26/2002
0508F9	0508FD	DATA	No	"Song indexes which need the current song to be paused then resumed (battle, sleepy time)"	8/26/2002
0508FE	05090D	DATA	No	Jump table for SPC codes $10-$17	8/26/2002
05090E	05090F	DATA	No	Length of Main SPC Code Loop	6/24/2002
050910	0520C6	CODE	No	Main SPC Code Loop (Copied to SPC locations $0200-$19B6)	9/9/2002
0520C7	0520C8	DATA	No	Length of Sound Effect Sample Data	8/26/2002
0520C9	052215	DATA	No	Sound Effect Sample Data (Copied to SPC locations $4800-$494C)	8/26/2002
052216	052217	DATA	No	Length of Pointer Table to Sound Effect Sample Data	8/26/2002
052218	052237	DATA	No	Pointer Table to Sound Effect Sample Data (Copied to SPC locations $1B00-$1B1F)	8/26/2002
052238	052239	DATA	No	Length of ADSR Data for Sound Effect Samples	8/26/2002
05223A	052249	DATA	No	ADSR Data for Sound Effect Samples (Copied to SPC locations $1A80-$1A8F)	8/26/2002
05224A	05224B	DATA	No	Length of Wave Rate Multiplying Values for Sound Effect Samples	8/26/2002
05224C	05225B	DATA	No	Wave Rate Multiplying Values for Sound Effect Samples (Copied to SPC locations $1A00-$1A0F)	8/26/2002
05225C	05225D	DATA	No	Length of Type 1 Sound Effect Instruction Pointers and Instructions	8/26/2002
05225E	053E5D	DATA	No	Type 1 Sound Effect Instruction Pointers and Instructions	8/26/2002
053E5E	053E5E	DATA	No	Number of Songs in the Game	8/26/2002
053E5F	053F1B	PTR	No	Pointers to BRRs (63 addresses)	7/17/2002
053F1C	053F99	DATA	No	"Loop Start Info for Samples (constants to be added to wave table pointers, index 0 = sample 1)"	8/26/2002
053F9A	054017	DATA	No	Wave Rate Multiplying Data for Samples (index 0 = sample 1)	8/26/2002
054018	054095	DATA	No	ADSR Data for Samples (index 0 = sample 1)	8/26/2002
054096	054194	PTR	No	Pointers to SPCs - (85 addresses) (First one at 085E7A)	8/23/2002
054195	054C34	DATA	No	"Table of Sample Indexes For Each Song (85 elements, 32 bytes each)"	5/8/2003
054C35	085E79	BRR	No	BRR samples	8/27/2002
085E7A	085E9F	SPC	No	(Silence) (00) (51)	10/1/2002
085EA0	08661D	SPC	No	3.16 - The Prelude (01)	10/1/2002
08661E	086932	SPC	No	1.03 - Awakening (05)	10/1/2002
086933	086F68	SPC	No	2.01 - Terra (06)	10/1/2002
086F69	0872C4	SPC	No	1.11 - Shadow (07)	10/1/2002
0872C5	0876BE	SPC	No	2.18 - Strago (08)	10/1/2002
0876BF	087AF7	SPC	No	1.18 - Gau (09)	10/1/2002
087AF8	087EAE	SPC	No	1.07 - Edgar & Sabin (0A)	10/1/2002
087EAF	088227	SPC	No	2.02 - Coin Song (0B)	10/1/2002
088228	088637	SPC	No	1.13 - Cyan (0C)	10/1/2002
088638	088A99	SPC	No	1.04 - Locke (0D)	10/1/2002
088A9A	088DEC	SPC	No	2.04 - Forever Rachel (0E)	10/1/2002
088DED	089155	SPC	No	2.19 - Relm (0F)	10/1/2002
089156	08976E	SPC	No	2.11 - Setzer (10)	10/1/2002
08976F	089A28	SPC	No	3.09 - Epitaph (11)	10/1/2002
089A29	089D61	SPC	No	1.22 - Celes (12)	10/1/2002
089D62	08A7D3	SPC	No	2.03 - Techno de Chocobo (13)	10/1/2002
08A7D4	08AF35	SPC	No	1.24 - The Decisive Battle (14)	10/1/2002
08AF36	08B69C	SPC	No	2.12 - Johnny C. Bad (15)	10/1/2002
08B69D	08B9B7	SPC	No	1.01 - Opening Theme 2 (03)	10/1/2002
08B9B8	08C1E7	SPC	No	1.08 - Kefka (16)	10/1/2002
08C1E8	08C44B	SPC	No	1.02 - The Mines of Narshe (17)	10/1/2002
08C44C	08CA81	SPC	No	1.15 - The Phantom Forest (18)	10/1/2002
08CA82	08D0C0	SPC	No	1.01 - Opening Theme 3 (04)	10/1/2002
08D0C1	08D52F	SPC	No	1.17 - Wild West (19)	10/1/2002
08D530	08DC55	SPC	No	1.23 - Save Them! (1A)	10/1/2002
08DC56	08DFBE	SPC	No	2.13 - The Empire Gestahl (1B)	10/1/2002
08DFBF	08E36A	SPC	No	1.12 - Troops March On (1C)	10/1/2002
08E36B	08E556	SPC	No	1.21 - Under Martial Law (1D)	10/1/2002
08E557	08E5E1	SPC	No	Waterfall (1E)	10/1/2002
08E5E2	08EC47	SPC	No	1.25 - Metamorphosis (1F)	10/1/2002
08EC48	08F1A5	SPC	No	1.16 - The Phantom Train 1 & 2 (20)	10/1/2002
08F1A6	08F671	SPC	No	2.20 - Another World of Beasts (21)	10/1/2002
08F672	08FC14	SPC	No	2.10 - Grand Finale 2 (22)	10/1/2002
08FC15	090042	SPC	No	1.09 - Mt. Koltz (23)	10/1/2002
090043	09074A	SPC	No	1.05 - Battle Theme (24)	10/1/2002
09074B	0907E8	SPC	No	Fanfare (25)	10/1/2002
0907E9	090C65	SPC	No	2.09 - The Wedding Waltz 1 (26)	10/1/2002
090C66	09169B	SPC	No	2.08 - Aria de Mezzo Caraterre (27)	10/1/2002
09169C	091C4B	SPC	No	1.20 - Kids Run Through the City Corner (2A)	10/1/2002
091C4C	0920DC	SPC	No	3.08 - Gogo (2D)	10/1/2002
0920DD	09288E	SPC	No	1.10 - Returners (2E)	10/1/2002
09288F	092B96	SPC	No	1.06 - Fanfare (2F)	10/1/2002
092B97	09300A	SPC	No	3.11 - Umaro (30)	10/1/2002
09300B	093457	SPC	No	2.17 - Mog (31)	10/1/2002
093458	0939FE	SPC	No	1.14 - The Unforgiven (32)	10/1/2002
0939FF	0941AD	SPC	No	3.03 - The Fierce Battle (33)	10/1/2002
0941AE	094664	SPC	No	3.06 - The Day After (34)	10/1/2002
094665	094CB2	SPC	No	2.15 - Blackjack (35)	10/1/2002
094CB3	094F6E	SPC	No	3.02 - Catastrophe (36)	10/1/2002
094F6F	095515	SPC	No	3.10 - The Magic House (37)	10/1/2002
095516	0955DA	SPC	No	Nighty Night (38)	10/1/2002
0955DB	0956C4	SPC	No	Wind (39)	10/1/2002
0956C5	095756	SPC	No	Windy Shores (3A)	10/1/2002
095757	0964C8	SPC	No	"3.14 - Dancing Mad 1, 2, & 3 (3B)"	10/1/2002
0964C9	0965CC	SPC	No	The Raft and the Flowing River (3C)	10/1/2002
0965CD	096B02	SPC	No	2.06 - Spinach Rag (3D)	10/1/2002
096B03	096C6D	SPC	No	3.04 - Rest in Peace (3E)	10/1/2002
096C6E	096D18	SPC	No	Train Running (3F)	10/1/2002
096D19	096DC1	SPC	No	The Dream of a Train (40)	10/1/2002
096DC2	0972D9	SPC	No	2.07 - Overture 1 (41)	10/1/2002
0972DA	0973C8	SPC	No	2.07 - Overture 2 (42)	10/1/2002
0973C9	097C05	SPC	No	2.07 - Overture 3 (43)	10/1/2002
097C06	097EEA	SPC	No	2.09 - The Wedding Waltz 2 (44)	10/1/2002
097EEB	09817B	SPC	No	2.09 - The Wedding Waltz 3 (45)	10/1/2002
09817C	0985DA	SPC	No	2.09 - The Wedding Waltz 4 (46)	10/1/2002
0985DB	098A41	SPC	No	1.01 - Opening Theme 1 (02)	10/1/2002
098A42	098E98	SPC	No	2.14 - Devil's Lab (47)	10/1/2002
098E99	098EE7	SPC	No	Fire! (48)	10/1/2002
098EE8	098F84	SPC	No	Machine Running (49)	10/1/2002
098F85	099013	SPC	No	Inside the Burning House (4A)	10/1/2002
099014	0992B5	SPC	No	2.16 - ??? (2B)	10/1/2002
0992B6	0995A1	SPC	No	1.19 - The Serpent Trench (28)	10/1/2002
0995A2	09995E	SPC	No	2.05 - Slam Shuffle (29)	10/1/2002
09995F	0999DE	SPC	No	2.10 - Grand Finale 1 (2C)	10/1/2002
0999DF	099FBE	SPC	No	3.01 - New Continent (4B)	10/1/2002
099FBF	09A44E	SPC	No	3.07 - Searching for Friends (4C)	10/1/2002
09A44F	09A5D7	SPC	No	3.12 - Fanatics (4D)	10/1/2002
09A5D8	09AE50	SPC	No	3.13 - Last Dungeon & Aura (4E)	10/1/2002
09AE51	09B09E	SPC	No	3.05 - Dark World (4F)	10/1/2002
09B09F	09BBB8	SPC	No	3.14 - Dancing Mad 4.2 (50)	10/1/2002
09BBB9	09BCF8	SPC	No	3.14 - Dancing Mad 4.1 (52)	10/1/2002
09BCF9	09E13E	SPC	No	3.15 - Ending Theme 1 (53)	10/1/2002
09E13F	09FEEB	SPC	No	3.15 - Ending Theme 2 (54)	10/1/2002
09FEEC	09FFFF	---	No	UNUSED SPACE (276 bytes)	6/24/2002
0A0000			No		6/24/2002
0A0200	0CE7FF	EVNT	No	Event Code	6/24/2002
0CE800	0D0019	DATA	No	Pointers to Dialogue (+0D0200)	7/16/2002
0D001A	0D01FF	---	No	UNUSED SPACE (486 bytes)	6/24/2002
0D0200	0EF2FF	TXT	No	"Dialogue (3326 items, variable length)"	7/16/2002
0EF300	0EF7FF	TXT	No	"Location Names (448 items [73 actual], variable length)"	7/16/2002
0EF800			No		6/24/2002
0EFD60	0EFD87	PTR	No	Pointers to Rare Item Descriptions (+0EFEB0)	7/16/2002
0EFD88	0EFD9F	---	No	UNUSED SPACE (24 bytes)	6/24/2002
0EFDA0	0EFEA3	TXT	No	"Rare Item Names (20 elements, 13 bytes each)"	7/16/2002
0EFEA4	0EFEAF	---	No	UNUSED SPACE (12 bytes)	6/24/2002
0EFEB0	0F01FF	TXT	No	"Rare Item Descriptions (20 elements, variable length)"	7/16/2002
0F0200	0F31FF	DATA	No	"Monster Stats (384 elements, 32 bytes each)"	7/16/2002
0F3200	0F37FF	DATA	No	"Monster Items Stolen and Dropped (384 elements, 4 bytes each)"	7/16/2002
0F3800			No		6/24/2002
0F39C0	0F3B3F	DATA	No	Apperance of main attack	6/24/2002
0F3B40	0F3E3F	TXT	No	"Esper Descritions (27 items, variable length)"	9/11/2002
0F3E40	0F3E9F	TXT	No	"SwordTech Names (8 items, 12 bytes each)"	7/16/2002
0F3EA0	0F3EFF	---	No	UNUSED SPACE (96 bytes)	9/11/2002
0F3F00	0F44FF	DATA	No	Control Skill Commands (4 bytes per monster)	6/24/2002
0F4500	0F47FF	DATA	No	Sketch Commands (2 bytes per monster)	6/24/2002
0F4800	0F49FF	DATA	No	Rage Commands (2 bytes per monster)	6/24/2002
0F4A00	0F5200	DATA	No	"Assigment of monsters formations, each zone, or particular fight, can trigger one of four formations. Assigment is done word-wize.  256 zones * 4 possibilities * 2 bytes for tmp index"	6/24/2002
0F5200	0F55FF	DATA	No	"Monster Formations used in Event Scripts (256 elements, 4 bytes each)"	7/16/2002
